state,coverage_string,occurrences,reason
VA,Hampton Roads,7,no county or place of this name in the state
??,Atlanta,7,"entity has no state, so the lookup cannot be scoped"
KY,Lexington,6,no county or place of this name in the state
??,Montgomery,6,"entity has no state, so the lookup cannot be scoped"
??,Dallas,6,"entity has no state, so the lookup cannot be scoped"
TN,DeSoto,5,no county or place of this name in the state
TN,Catoosa,4,no county or place of this name in the state
TX,Mesquite,4,2 same-named places in different counties
??,Fairfax,4,"entity has no state, so the lookup cannot be scoped"
??,Loudoun,4,"entity has no state, so the lookup cannot be scoped"
??,Denver,4,"entity has no state, so the lookup cannot be scoped"
??,Queens,4,"entity has no state, so the lookup cannot be scoped"
??,Anne Arundel,4,"entity has no state, so the lookup cannot be scoped"
??,Birmingham,4,"entity has no state, so the lookup cannot be scoped"
??,Chicago,4,"entity has no state, so the lookup cannot be scoped"
??,Orange,4,"entity has no state, so the lookup cannot be scoped"
??,Los Angeles,4,"entity has no state, so the lookup cannot be scoped"
??,Houston,4,"entity has no state, so the lookup cannot be scoped"
??,Baltimore,4,"entity has no state, so the lookup cannot be scoped"
??,Phoenix,4,"entity has no state, so the lookup cannot be scoped"
??,San Diego,4,"entity has no state, so the lookup cannot be scoped"
GA,Miami,3,no county or place of this name in the state
GA,Phoenix,3,no county or place of this name in the state
NC,York,3,no county or place of this name in the state
TN,East Brainerd,3,no county or place of this name in the state
??,Prince William,3,"entity has no state, so the lookup cannot be scoped"
??,Colorado Springs,3,"entity has no state, so the lookup cannot be scoped"
??,Nassau,3,"entity has no state, so the lookup cannot be scoped"
??,Suffolk,3,"entity has no state, so the lookup cannot be scoped"
??,Baldwin,3,"entity has no state, so the lookup cannot be scoped"
??,Austin,3,"entity has no state, so the lookup cannot be scoped"
??,New York,3,"entity has no state, so the lookup cannot be scoped"
??,Philadelphia,3,"entity has no state, so the lookup cannot be scoped"
CT,Farmington,2,no county or place of this name in the state
CT,Avon,2,no county or place of this name in the state
DC,Montgomery,2,no county or place of this name in the state
EN,Birmingham,2,no county or place of this name in the state
EN,Bradford,2,no county or place of this name in the state
EN,Bristol,2,no county or place of this name in the state
ET,Addis Ababa,2,no county or place of this name in the state
GA,Aiken,2,no county or place of this name in the state
GA,Los Angeles,2,no county or place of this name in the state
GA,Philadelphia,2,no county or place of this name in the state
GA,San Antonio,2,no county or place of this name in the state
GA,San Diego,2,no county or place of this name in the state
KS,Platte,2,no county or place of this name in the state
KS,Blue Springs,2,no county or place of this name in the state
MA,Braintree,2,no county or place of this name in the state
MA,Agawam,2,no county or place of this name in the state
MO,Wyandotte,2,no county or place of this name in the state
MO,Leavenworth,2,no county or place of this name in the state
NC,Lancaster,2,no county or place of this name in the state
NE,Pottawattamie,2,no county or place of this name in the state
NE,Council Bluffs,2,no county or place of this name in the state
NY,Passaic,2,no county or place of this name in the state
OH,Bath,2,no county or place of this name in the state
OH,West Chester,2,no county or place of this name in the state
OR,Clark,2,no county or place of this name in the state
SC,West Ashley,2,no county or place of this name in the state
SC,Charlotte,2,no county or place of this name in the state
SC,Richmond,2,no county or place of this name in the state
TN,Whitfield,2,no county or place of this name in the state
TN,Desoto,2,no county or place of this name in the state
TX,Cypress,2,no county or place of this name in the state
TX,DFW,2,no county or place of this name in the state
UT,Kearns,2,no county or place of this name in the state
UT,Magna,2,no county or place of this name in the state
VA,Prince George’s,2,no county or place of this name in the state
VA,Howard,2,no county or place of this name in the state
VA,Anne Arundel,2,no county or place of this name in the state
VA,null,2,no county or place of this name in the state
WA,Kootenai,2,no county or place of this name in the state
KY,Northern Kentucky,2,no county or place of this name in the state
NC,Rock Hill,2,no county or place of this name in the state
PA,Eagleville,2,2 same-named places in different counties
TN,Walker,2,no county or place of this name in the state
TX,Alief,2,no county or place of this name in the state
??,Westchester,2,"entity has no state, so the lookup cannot be scoped"
??,Arlington,2,"entity has no state, so the lookup cannot be scoped"
??,Alexandria,2,"entity has no state, so the lookup cannot be scoped"
??,Prince George's,2,"entity has no state, so the lookup cannot be scoped"
??,Chesapeake,2,"entity has no state, so the lookup cannot be scoped"
??,Richmond,2,"entity has no state, so the lookup cannot be scoped"
??,Albany,2,"entity has no state, so the lookup cannot be scoped"
??,Davidson,2,"entity has no state, so the lookup cannot be scoped"
??,Hamilton,2,"entity has no state, so the lookup cannot be scoped"
??,Prince Georges,2,"entity has no state, so the lookup cannot be scoped"
??,Mecklenburg,2,"entity has no state, so the lookup cannot be scoped"
??,Charlotte,2,"entity has no state, so the lookup cannot be scoped"
??,Maryland,2,"entity has no state, so the lookup cannot be scoped"
??,Virginia,2,"entity has no state, so the lookup cannot be scoped"
??,Prince George’s,2,"entity has no state, so the lookup cannot be scoped"
??,Mobile,2,"entity has no state, so the lookup cannot be scoped"
??,Hillsborough,2,"entity has no state, so the lookup cannot be scoped"
??,Pinellas,2,"entity has no state, so the lookup cannot be scoped"
??,Riverside,2,"entity has no state, so the lookup cannot be scoped"
??,San Bernardino,2,"entity has no state, so the lookup cannot be scoped"
??,Miami,2,"entity has no state, so the lookup cannot be scoped"
??,Orlando,2,"entity has no state, so the lookup cannot be scoped"
??,Oakland,2,"entity has no state, so the lookup cannot be scoped"
??,Fairfax County,2,"entity has no state, so the lookup cannot be scoped"
??,Loudoun County,2,"entity has no state, so the lookup cannot be scoped"
??,San Antonio,2,"entity has no state, so the lookup cannot be scoped"
??,New Jersey,2,"entity has no state, so the lookup cannot be scoped"
??,Tampa,2,"entity has no state, so the lookup cannot be scoped"
??,Nashville,2,"entity has no state, so the lookup cannot be scoped"
??,Jacksonville,2,"entity has no state, so the lookup cannot be scoped"
??,Bucks,2,"entity has no state, so the lookup cannot be scoped"
??,Erie,2,"entity has no state, so the lookup cannot be scoped"
??,Columbus,2,"entity has no state, so the lookup cannot be scoped"
??,Caldwell,2,"entity has no state, so the lookup cannot be scoped"
??,Cleveland,2,"entity has no state, so the lookup cannot be scoped"
??,Aurora,2,"entity has no state, so the lookup cannot be scoped"
??,Lubbock,2,"entity has no state, so the lookup cannot be scoped"
??,Sacramento,2,"entity has no state, so the lookup cannot be scoped"
??,Miami-Dade,2,"entity has no state, so the lookup cannot be scoped"
??,Bronx,2,"entity has no state, so the lookup cannot be scoped"
??,Salt Lake City,2,"entity has no state, so the lookup cannot be scoped"
CA,Miami-Dade,1,no county or place of this name in the state
CA,Cook,1,no county or place of this name in the state
CA,Clark,1,no county or place of this name in the state
CA,Suffolk,1,no county or place of this name in the state
CA,Harris,1,no county or place of this name in the state
CA,Salt Lake,1,no county or place of this name in the state
CA,Lake Tahoe,1,no county or place of this name in the state
CA,North Sacramento,1,no county or place of this name in the state
CA,East Sacramento,1,no county or place of this name in the state
CA,South Sacramento,1,no county or place of this name in the state
CH,Bedfordshire,1,no county or place of this name in the state
CH,Berkshire,1,no county or place of this name in the state
CH,Bristol,1,no county or place of this name in the state
CH,Buckinghamshire,1,no county or place of this name in the state
CH,Cambridgeshire,1,no county or place of this name in the state
CH,Cheshire,1,no county or place of this name in the state
CH,Cornwall,1,no county or place of this name in the state
CH,County Durham,1,no county or place of this name in the state
CO,all 64 counties,1,no county or place of this name in the state
CO,Wichita,1,no county or place of this name in the state
CT,Hamden,1,no county or place of this name in the state
CT,Stratford,1,no county or place of this name in the state
CT,Vernon,1,no county or place of this name in the state
CT,Plainville,1,no county or place of this name in the state
CT,Washington,1,no county or place of this name in the state
DC,Prince George's,1,no county or place of this name in the state
DC,Baltimore,1,no county or place of this name in the state
DC,Prince George’s County,1,no county or place of this name in the state
DC,Montgomery County,1,no county or place of this name in the state
DC,Howard County,1,no county or place of this name in the state
DC,Anne Arundel County,1,no county or place of this name in the state
DC,Charles County,1,no county or place of this name in the state
DC,Fairfax County,1,no county or place of this name in the state
DC,Arlington County,1,no county or place of this name in the state
DC,Loudoun County,1,no county or place of this name in the state
EN,Bournemouth,1,no county or place of this name in the state
EN,Leeds,1,no county or place of this name in the state
EN,London,1,no county or place of this name in the state
EN,Manchester,1,no county or place of this name in the state
EN,Sheffield,1,no county or place of this name in the state
EN,Aberdeen,1,no county or place of this name in the state
EN,Bolton,1,no county or place of this name in the state
EN,Cardiff,1,no county or place of this name in the state
EN,Doncaster,1,no county or place of this name in the state
EN,Edinburgh,1,no county or place of this name in the state
FL,Dade,1,no county or place of this name in the state
FL,Autauga,1,no county or place of this name in the state
FL,Barbour,1,no county or place of this name in the state
FL,Bibb,1,no county or place of this name in the state
FL,Blount,1,no county or place of this name in the state
FL,Bullock,1,no county or place of this name in the state
FL,Butler,1,no county or place of this name in the state
FL,Suffolk,1,no county or place of this name in the state
FL,Tampa Bay,1,no county or place of this name in the state
FL,Fort McCoy,1,no county or place of this name in the state
GA,Bronx,1,no county or place of this name in the state
GA,Brooklyn,1,no county or place of this name in the state
GA,Buffalo,1,no county or place of this name in the state
GA,Detroit,1,no county or place of this name in the state
GA,Pennsauken,1,no county or place of this name in the state
GA,Sanford,1,no county or place of this name in the state
GA,Hernando,1,no county or place of this name in the state
GA,Pasco,1,no county or place of this name in the state
GB,London,1,no county or place of this name in the state
GB,Manchester,1,no county or place of this name in the state
GB,Birmingham,1,no county or place of this name in the state
GB,Newcastle,1,no county or place of this name in the state
GB,Bristol,1,no county or place of this name in the state
